#Name Omega0 sigma8 WindEnergyIn1e51erg RadioFeedbackFactor VariableWindVelFactor RadioFeedbackReiorientationFactor OmegaBaryon HubbleParam n_s MaxSfrTimescale FactorForSofterEQS IMFslope SNII_MinMass_Msun ThermalWindFraction VariableWindSpecMomentum WindFreeTravelDensFac MinWindVel WindEnergyReductionFactor WindEnergyReductionMetallicity WindEnergyReductionExponent WindDumpFactor SeedBlackHoleMass BlackHoleAccretionFactor BlackHoleEddingtonFactor BlackHoleFeedbackFactor BlackHoleRadiativeEfficiency QuasarThreshold QuasarThresholdPower UVBH0beta UVBH0Deltaz UVBHepbeta UVBHepDeltaz SNIa_Rate_Norm SNIa_Rate_DTD_power SofteningComovingType01 seed
  SB35_382 0.19724 0.89898 5.5044 0.69604 13.568 20.502 0.049673 0.78447 0.78274 2.0572 0.84194 -2.7721 11.56 0.19469  2533 0.045258 393.78 0.90934 0.0027145 2.7648 0.597 0.00018846 1.2029 8.9213 0.10509 0.31607 0.0057462 1.6265 4.987 -0.18773 0.29212 -0.046818 0.0016337 1.0058 1.4491 25382
  SB35_383 0.49906 0.74154 1.6374 1.7962 7.0869 14.341 0.047238 0.56638 0.96645 2.9396 0.20933 -2.0739 4.9211 0.027822 633.28 0.36733 191.5 0.097163 0.0011435 1.8677 0.84116 3.1507e-05 0.92929 0.12359 0.029742 0.16841 0.0005095 2.0197 1.8223 -4.8439 1.1281 -0.69509 0.00092166 1.1693 3.7013 25383
  SB35_384 0.49778 0.97862  8.47 0.55231 14.707 37.349 0.067597 0.49717 1.1272 4.1278 0.29312 -2.2865 5.0996 0.14112 2957.9 0.049658 334.04 0.15007 0.003279 1.4869 0.64023 6.1745e-05 1.3528 0.18297 0.12453 0.4898 0.0087425 1.3465 3.8037 -4.8951 0.31573 -0.60063 0.0014799 1.1059 1.5067 25384
  SB35_385 0.19969 0.63691 2.5057 1.4408 6.538 13.347 0.030242 0.82869 0.92323 1.4405 0.61369 -2.5596 10.492 0.040083 872.38 0.34386 530.1 0.29537 0.0019561 2.3799 0.39679 0.00011073 0.87641 4.5289 0.025238 0.055014 0.00077771 2.9916 0.62341 -0.21971 1.1995 -0.13989 0.0012776 1.1822 3.9654 25385
  SB35_386 0.29956 0.83458 5.2674 0.3131 3.7595 19.327 0.056952 0.7136 0.81776 2.1845 0.30548 -2.4151 7.5349 0.3695 1105.3 0.0089896 407.02 0.068924 0.00067861 1.8608 0.87346 0.00020192 2.3673 0.82786 0.20635 0.14551 0.032525 3.1492 8.7611 -1.3204 0.5876 -0.83845 0.0017473 1.2618 2.5919 25386
  SB35_387 0.3983 0.78114 1.569 3.8459 8.2921 28.233 0.039326 0.64498 1.0327 3.117 0.14614 -1.9388 8.9233 0.057537 3189.8 0.12787 204.62 0.6383 0.0045749 2.7568 0.51766 3.376e-05 0.3841 1.1366 0.063794 0.36985 9.0356e-05 0.5131 1.0372 -3.4769 2.2693 -0.42446 0.0010388 0.91561 1.1525 25387
  SB35_388 0.32572 0.86211  2.82 2.6972 10.433 30.892 0.050203 0.77037 0.79489 1.1785 0.43761 -1.869 6.671 0.0282 3799.8 0.054706 193.85 0.95124 0.00088753 1.1506 0.73248 4.5454e-05 3.5947 2.857 0.077995 0.11338 0.013098 2.2535 2.2056 -4.0053 0.8592 -0.73176 0.00086929 1.3505 3.2416 25388
  SB35_389 0.22681 0.70322 13.349 0.43444  4.61 11.284 0.047636 0.58983 1.0051 3.2911 0.10513 -2.4849  9.81 0.19843 1901.7 0.0068722 391.57 0.093208 0.005951 2.2321 0.27581 8.4522e-05 0.34628 0.36665 0.38959 0.24298 0.0002309 1.8966 0.88709 -1.1826 3.5408 -0.0052645 0.0015811 0.94697 1.8042 25389
  SB35_390 0.12707 0.90578 0.94686 1.0725 5.3264 16.342 0.059364 0.55248 1.1106 2.4819 0.20683 -2.7388 4.2276 0.080956 138.44 0.25244 471.34 0.36344 0.0021212 1.5252 0.95384 0.00014902 1.4503 7.3246 0.049824 0.76226 0.0034671 0.24366 6.3729 -2.2688 0.39656 -0.95389 0.0011081 1.0173 1.3951 25390
  SB35_391 0.42508 0.66014 4.5122 0.8312 11.709 23.363 0.036912 0.7717 0.88942 1.7702 0.85862 -2.1074 11.37 0.25978 2035.6 0.020587 267.46 0.24217 0.0012586 2.6077 0.40972 2.582e-05 0.55954 0.16796 0.15965 0.072187 0.0019056 3.6056 1.7281 -2.6117 1.679 -0.30565 0.0013137 1.1508 2.096 25391
  SB35_392 0.40462 0.80631 1.1435 0.38487 7.0473 25.133 0.053145 0.72619 0.782 2.7058 0.71342 -2.1984 9.0482 0.099409  1311 0.084263 438.53 0.54095 0.00076966 1.9878 0.75385 0.00010395 1.7291 1.9375 0.31495 0.4221 0.00042734 1.7204 0.78804 -1.8773 0.83816 -0.44239 0.0014429 1.3176 3.5643 25392
  SB35_393 0.10573 0.75277 3.8597 2.3606 12.516 17.968 0.045631 0.60737 0.96724 1.9299 0.18999 -2.6555 6.4093 0.22569 3398.2 0.0059508 247.09 0.081714 0.0072984 2.879 0.20974 5.6929e-05 0.66732 0.47528 0.097263 0.069638 0.0066627 2.1133 3.008 -2.8418 3.1845 -0.79416 0.0011952 0.97043 1.6764 25393
  SB35_394 0.20596 0.95073 3.4382 0.93955 7.8487 11.943 0.063903 0.53496 1.0727 1.5279 0.12689 -2.3157 11.617 0.032447 2626.3 0.16392 314.25 0.34852 0.0025456 1.3598 0.93249 3.1709e-05 3.048 7.5233 0.19849 0.17735 0.00011781 3.7771 1.9513 -4.2412 0.44307 -0.24278 0.001654 1.0501 1.0839 25394
  SB35_395 0.304 0.60893 11.559 1.2238 4.3329 34.897 0.036436 0.81589 0.87653 4.2671 0.47519 -2.0304 4.9738 0.16155 540.03 0.023779 524.35 0.12658 0.001068 2.2578 0.47583 0.00018629 0.2935 0.10422 0.040183 0.33105 0.058819 0.38877 4.6587 -0.79553 1.711 -0.5163 0.0010126 1.1273 2.7561 25395
  SB35_396 0.36886 0.9275 6.158 1.7829 4.9906 21.019 0.065593 0.49046 1.1393 1.6848 0.15406 -1.8346 10.746 0.3208 461.36 0.032244 477.25 0.20302 0.0039379 1.6515 0.67344 0.00014105 2.8082 0.31083 0.031261 0.13819 0.00027027 2.626 0.47958 -1.7125 0.28396 -0.32749 0.00095884 1.0824 1.9172 25396
  SB35_397 0.2708 0.68177 1.2992 0.69184 8.8344 15.352 0.033184 0.8587 0.96034 2.4042 0.38295 -2.5115 5.8533 0.070697 2361.2 0.39716 287.46 0.43557 0.0016611 2.7312 0.31766 7.4498e-05 0.45546 4.0249 0.10027 0.21749 0.026385 1.0208 4.0813 -3.2461 1.1702 -0.9135 0.001597 1.215 3.0509 25397
  SB35_398 0.17064 0.88423 9.7816 3.1028 11.131 10.21 0.056474 0.68356 0.85488 3.7862 0.58115 -2.7107 8.1853 0.11481 3600.9 0.013846 151.22 0.11118 0.00058889 1.0242 0.84021 4.3111e-05 1.1282 0.69629 0.051103 0.6569 0.00094 0.87006 1.3524 -4.6599 0.59884 -0.11206 0.0011414 1.2853 2.3337 25398
  SB35_399 0.46941 0.72524 2.0552 0.25021 6.1082 29.19 0.043863 0.65165 1.0448 1.3213 0.23416 -2.1433 7.2968 0.046153  1702 0.11072 359.85 0.79371 0.0056145 2.1087 0.59679 0.0002444 0.73113 1.5824 0.25551 0.091376 0.0029434 3.4837 8.1405 -0.60612 2.5353 -0.65133 0.0013859 0.8827 1.2531 25399
  SB35_400 0.45202 0.88875 4.1433 1.1782 8.6989 14.213 0.030542 0.68925 0.97538 3.364 0.25298 -1.9066 11.047 0.02523 3364.7 0.043069 418.16 0.31272 0.0006213 1.4255 0.23629 0.00016181 0.77506 3.5206 0.029275 0.69322 0.0038633 3.3592 2.6885 -3.2954 0.98135 -0.75934 0.0014273 1.3442 1.2238 25400
  SB35_401 0.15012 0.74534 1.2262 0.76891 3.9095 20.764 0.067931 0.67096 0.77468 1.2033 0.52881 -2.4474 4.4084 0.17661 1465.6 0.29731 220.45 0.1411 0.0041934 2.4415 0.78042 2.7535e-05 1.0034 0.27181 0.1326 0.077647 0.0013791 0.99459 0.72797 -1.7413 3.7896 -0.47044 0.0012393 0.96773 2.1883 25401
  SB35_402 0.25067 0.94491 10.308 2.4516 6.2895 29.869 0.04091 0.47111 0.86609 1.8899 0.35451 -2.7795 9.6155 0.076879 697.54 0.0104 340.87 0.57722 0.0030055 1.7972 0.45238 4.9434e-05 0.47913 1.3606 0.064981 0.10311 0.014595 1.1463 5.228 -0.34201 0.37384 -0.55087 0.0016661 1.008 2.8454 25402
  SB35_403 0.35186 0.68976 3.0712 0.47022 14.024 10.677 0.058502 0.85307 1.084 2.6453 0.16932 -2.0666 6.9727 0.24807 2597.7 0.14739 544.74 0.076593 0.001791 2.8201 0.90906 9.0293e-05 2.4897 0.59887 0.22945 0.26137 0.00016709 2.5005 2.106 -4.3772 1.4204 -0.21498 0.00097192 1.1745 1.8824 25403
  SB35_404 0.32451 0.97088 1.4407 0.34444 12.205 17.182 0.04797 0.52849 0.94674 1.3515 0.49601 -2.2624 8.7448 0.12425  2394 0.063361 453.56 0.12386 0.0023106 1.2139 0.34109 0.00021199 0.26603 0.54465 0.35072 0.16093 0.036243 0.26427 4.471 -3.1063 0.33201 -0.87874 0.00091468 1.0994 2.7062 25404
  SB35_405 0.22335 0.6134 6.8219 3.5529 5.5709 24.563 0.050503 0.79736 1.1537 3.8664 0.11948 -2.5836 7.8525 0.035476 307.45 0.0079125 257.5 0.7123 0.0013694 2.1685 0.69689 3.7404e-05 3.2751 2.2209 0.07649 0.3421 6.5386e-05 3.9016 0.53012 -2.1598 1.4058 -0.35535 0.0016126 1.2032 1.0109 25405
  SB35_406 0.12273 0.81435 1.9347 0.50269 4.4062 35.327 0.038462 0.74478 1.0623 3.0527 0.182 -2.3922 10.184 0.34905 1543.3 0.21919 181.16 0.1902 0.00096567 1.5869 0.57022 6.4636e-05 0.60624 0.1215 0.15009 0.54168 0.0097416 2.2388 7.4532 -0.74593 0.50733 -0.68584 0.0011821 1.2529 1.572 25406
  SB35_407 0.42474 0.77013 9.2238 1.5573 10.005 12.901 0.060948 0.6138 0.83814 2.1371 0.75754 -1.9617 5.2957 0.054049 3630.7 0.01778 383.56 0.46486 0.0064823 2.5463 0.81365 0.00012235 1.8739 8.7681 0.042908 0.050885 0.00056282 1.5949 1.2198 -4.2126 2.0905 -0.084444 0.0013738 0.93909 3.4808 25407
  SB35_408 0.44559 0.9228 2.2382 2.8862 4.1668 11.484 0.044682 0.55928 0.93384 2.353 0.82263 -1.8087 7.0985 0.28407 906.16 0.073164 310.93 0.064604 0.0027823 1.9245 0.37024 3.9086e-05 0.50575 0.31994 0.087089 0.59398 0.001047 3.7311 0.57052 -0.97705 0.26246 -0.1675 0.0015241 1.0723 2.0469 25408
  SB35_409 0.14445 0.66773 7.5532 0.27641 7.4817 33.552 0.052229 0.78988 1.1158 1.6472 0.21966 -2.5375 8.4908 0.062255  2803 0.0051394 500.72 0.68109 0.001166 2.9426 0.61366 0.00023385 1.5628 2.4924 0.30722 0.098791 0.0021291 0.11819 3.4291 -3.8202 1.0135 -0.56611 0.001262 1.2397 1.3082 25409
  SB35_410 0.24381 0.86702 1.6826 1.9196 13.126 22.223 0.034271 0.75223 1.0244 1.2388 0.10975 -2.6899 5.5341 0.10791 3032.1 0.18985 436.38 0.16728 0.00084026 1.2981 0.54111 0.00012824 0.31546 0.14407 0.037572 0.12495 0.00030103 1.7721 1.1368 -2.7196 0.7002 -0.3966 0.0017067  1.28 1.6827 25410
  SB35_411 0.34585 0.7237 5.6544 0.6255 7.3257 15.884 0.061704 0.58297 0.82525 3.544 0.41211 -2.164 10.923 0.043605 1134.2 0.027379 227.75 0.26503 0.007977 2.3192 0.89689 7.1486e-05 3.885 6.2847 0.17002 0.23513 0.019086 2.378 9.6892 -2.3953 2.6605 -0.87321 0.0010509 0.9026 3.1829 25411
  SB35_412 0.38091 0.84223 12.588 0.87277 5.8405 13.733 0.032269 0.70756 0.98749 2.0618 0.13526 -2.2339  4.67 0.088488 1869.1 0.037303 173.67 0.38787 0.00054025 1.7129 0.25238 2.9868e-05 0.40611 5.1776 0.11694 0.195 0.00013122 0.63861 0.99579 -0.11154 0.70749 -0.033067 0.00088489 1.3077 1.1316 25412
  SB35_413 0.27904 0.79811 2.6547 1.3538 10.679 39.266 0.064643 0.626 0.8118 2.886 0.3357 -2.62 11.809 0.20203 3953.4 0.4578 365.11 0.22687 0.0051566 2.6695 0.70903 0.00017234 2.111 0.20924 0.033468 0.30776 0.042549 3.0237 2.3811 -4.7689 2.9956 -0.69718 0.0015369 0.99488 2.4174 25413
  SB35_414 0.17957 0.99915 4.9987 0.4138 9.2112 25.994 0.041664 0.51609 0.9032 4.3645 0.66294 -2.3583 6.2268 0.030991 2194.1 0.012009 497.76 0.85367 0.0036168 1.0878 0.43629 9.7748e-05 0.92435 1.3219 0.26169 0.46414 0.000476 2.8671 1.5441 -3.6827 0.47576 -0.27761 0.001096 1.0446 3.7185 25414
  SB35_415 0.48078 0.64177  1.05 2.1372 5.2211 18.99 0.054309 0.83477 1.0961 1.5611 0.26669 -1.9878 9.3696 0.15348 108.87 0.09573 287.67 0.10384 0.0015239 2.0454 0.9804 5.258e-05 1.1963 0.96254 0.057132 0.06474 0.0048195 1.471 5.8855 -1.5052 1.9605 -0.98871 0.0013544 1.1474 1.4714 25415
  SB35_416 0.48205 0.83104 3.5312 1.6563 11.635 15.475 0.040384 0.78585 0.7641 3.9624 0.103 -2.5004 6.3454 0.084544 1624.5 0.03447 251.31 0.17215 0.0062331 2.4111 0.82549 9.9768e-05 3.6855 1.0316 0.14177 0.57388 0.0045611 0.61233 2.3165 -0.64053 1.8541 -0.14994 0.00092978 1.0345 2.2497 25416
  SB35_417 0.18416 0.78449 11.888 0.53389 5.3585 22.609 0.057777 0.56658 0.98509 1.3846 0.44277 -1.8535 9.2382 0.20918 3709.8 0.49989 459.96 0.25558 0.00092327 1.4564 0.58142 5.9776e-05 0.2982 0.80364 0.044212 0.094944 0.0014813 3.2253 0.84525 -4.0885 0.48012 -0.61108 0.0016242 1.141 1.192 25417
  SB35_418 0.28383 0.98701 1.1163 3.4933 4.791 32.622 0.031069 0.57571 1.0796 2.0853 0.87063 -2.1231 4.7887 0.032115 2437.8 0.012814 377.17 0.065546 0.0013163 2.7882 0.66083 3.278e-05 1.611 4.6402 0.36127 0.12057 0.01697 2.8838 6.6186 -3.0066 2.9027 -0.41023 0.0011686 1.3032 1.8532 25418
  SB35_419 0.38277 0.62871 3.7426 0.33819 10.035 11.661 0.068656 0.7563 0.86957 2.9798 0.20222 -2.723 11.678 0.14652 353.4 0.090521 187.36 0.67622 0.0022097 1.8287 0.30411 0.00018247 0.52321 0.20241 0.072275 0.22566 0.00017209 1.278 1.6627 -2.0397 0.76401 -0.82437 0.0013568 0.98671 2.8942 25419
  SB35_420 0.34125 0.90985 9.511 0.47954 8.1647 18.715 0.037817 0.63092 1.1571 1.2261 0.62637 -2.6688 5.9174 0.29752 649.86 0.06887 214.14 0.89789 0.0017123 2.1995 0.94556 0.00013553 1.2651 0.16094 0.068794 0.1844 0.038413 3.5178 3.5066 -0.45839 2.751 -0.019351 0.0014156 1.2718 1.0395 25420
  SB35_421 0.24253 0.65548 2.001 2.5036 3.8195 26.754 0.060345 0.6996 0.9424 3.429 0.2897 -2.1773 10.556 0.060087 2547.6 0.0055086 424.26 0.09801 0.00289 1.1834 0.48971 7.8312e-05 0.97341 6.504 0.22268 0.28941 7.8235e-05 0.13275 0.67675 -4.5098 0.64979 -0.74599 0.0012241 0.89807 2.6354 25421
  SB35_422 0.14259 0.85351 6.3504 0.72101 6.7146 38.569 0.048616 0.84271 0.84787 2.5961 0.14412 -2.0483 7.4817 0.1042 3287.4 0.20637 538.64 0.42002 0.0040104 2.5779 0.76814 4.4417e-05 2.0385 0.41134 0.028421 0.43825 0.010168 1.9768 8.5565 -3.4036 1.0681 -0.2952 0.001683 1.0659 3.4274 25422
  SB35_423 0.4408 0.71241 1.3308 1.1063 14.325 14.085 0.051107 0.51115 1.0517 1.8541 0.31246 -2.3056 8.1241 0.045647 1390.6 0.025412 347.18 0.21111 0.00059724 1.5549 0.22474 0.00023858 0.39383 2.9953 0.14034 0.060801 0.0006457 2.3729 1.0612 -1.8724 0.25918 -0.94384 0.00098526 1.2296 1.5987 25423
  SB35_424 0.4139 0.95864 5.484 2.0094 6.0809 10.543 0.034835 0.66252  1.12 2.8323 0.37772 -2.465 10.302 0.1199 2146.4 0.059653 371.42 0.55816 0.0014531 2.912 0.96812 6.3679e-05 2.405 0.10925 0.27555 0.72621 0.0012613 0.48482 0.49472 -3.6417 2.0716 -0.80812 0.00089648 1.2465 1.3304 25424
  SB35_425 0.1152 0.60044 1.6269 0.38962 11.185 30.804 0.062388 0.69448 0.93029 2.0228 0.1576 -1.8811 5.1634 0.037163 58.898 0.0084824 167.57 0.079036 0.0034684 1.9556 0.42474 0.0001082 0.46447 8.4346 0.055147 0.081794 0.0022718 3.8495 3.9594 -1.4827 0.53643 -0.45675 0.001552 0.92909 2.0155 25425
  SB35_426 0.21524 0.80306 8.1134 1.3769 9.1702 20.354 0.044117 0.84785 0.83575 1.5908 0.23903 -2.096 8.8625 0.36534 1791.7 0.2383 293.77 0.30964 0.0049183 2.2871 0.74553 0.00019426 1.0607 0.42173 0.11292 0.10788 0.00034769 2.0102 1.4473 -0.064654 1.3018 -0.50596 0.0010791 1.0913 3.0997 25426
  SB35_427 0.31347 0.7566 2.4231 0.88888 4.8094 14.548 0.051545 0.47956 1.0146 4.4487 0.57443 -2.7579 7.7202 0.052201 3878.4 0.016506 491.46 0.14277 0.00051793 1.3297 0.28971 3.5534e-05 0.81645 1.8563 0.035228 0.27492 0.020057 1.6561 7.6011 -4.7426 0.34266 -0.2326 0.0013409 1.1987 1.7302 25427
  SB35_428 0.35939 0.87514 0.91316 0.61335 4.2598 12.612 0.042427 0.80492 0.802 1.6073 0.19262 -2.5778 9.9998 0.026127 3113.2 0.039801 506.91  0.18 0.0076496 2.7005 0.86083 4.693e-05 1.9311 1.7512 0.035682 0.16499 0.0001419 3.3918 0.78537 -2.7691 1.5307 -0.92368 0.0015089 1.0036 2.4589 25428
  SB35_429 0.26152 0.73413 4.334 1.8797 7.9806 36.062 0.054797 0.52394 0.99798 2.2967 0.6974 -2.2762 6.607 0.1687 1213.2 0.32468 304.53 0.49026 0.00080119 1.6825 0.50412 8.2684e-05 0.62737 0.7141 0.17614 0.35259 0.050573 0.75451 3.0205 -2.4287 0.36153 -0.33782 0.0012503 1.1664 1.114 25429
  SB35_430 0.16116 0.93187 2.9162 0.29477 12.865 23.801 0.031505 0.61832 1.0925 3.632 0.46551 -1.9519 11.432 0.073401 950.06 0.011099 234.15 0.11495 0.0011178 2.0768 0.62551 0.00014288 3.1081 3.911 0.090193 0.55457 0.00049354 1.1047 1.7841 -1.0349 3.8374 -0.63697 0.00172 1.3342 1.4332 25430
  SB35_431 0.46013 0.6776 13.936 3.0737 6.8538 17.388 0.064155 0.73719 0.90747 1.2692 0.12837 -2.3942 4.0426 0.25702  2849 0.13938 430.19 0.76924 0.0026538 1.0559 0.38144 2.7085e-05 0.25139 0.28224 0.29186 0.052381 0.0056416 2.7486 5.0915 -3.8551 0.93118 -0.098103 0.0010678 0.96136 3.8227 25431
  SB35_432 0.46774 0.93946 1.7282 0.77625 9.6276 34.209 0.057438 0.5998 0.91262 3.2114 0.11681 -2.6301 8.3009 0.33424 217.74 0.029929 397.68 0.33052 0.0012069 2.4744 0.44817 4.1093e-05 0.28449 0.62471 0.047317 0.40495 0.0073553 2.6231 4.3766 -2.2427 2.452 -0.49127 0.00085583 1.2953 3.8985 25432
  SB35_433 0.16565 0.69462 5.8157 1.0003 4.5807 12.225 0.040088 0.73073 1.137 1.1503 0.50293 -2.2159 7.1625 0.067123 2116.5 0.43173 187.56 0.13378 0.0020225 1.3928 0.99156 0.00022472 2.9488 1.5324 0.1654 0.067175 0.00071918 1.2302 0.54196 -2.5645 0.64531 -0.7805 0.0015641 0.88912 1.5304 25433
  SB35_434 0.26639 0.89563 2.1851 0.44605 5.6064 17.744 0.06711 0.81134 1.0284 1.8142 0.76648 -2.009 10.861 0.1091 3845.5 0.014841 273.76 0.50099 0.0057051 2.8498 0.26314 0.00012517 0.70404 0.2423 0.080775 0.17038 0.027786 0.879 6.8558 -3.9826 1.1104 -0.19784 0.0011232 1.0869 1.1832 25434
  SB35_435 0.36739 0.73904 7.3238 2.7657 12.132 25.92 0.029479 0.54252 0.82122 2.5427 0.17831 -2.345 5.7191 0.048046 1945.8 0.10422 465.23 0.088069 0.00084652 1.7673 0.71898 7.3642e-05 1.8277 3.3566 0.37012 0.31974 8.7142e-05 3.2673 1.3251 -1.1419 0.28755 -0.53383 0.0013253 1.2232 2.5212 25435
  SB35_436 0.30898 0.82003 4.8602 3.756 13.655 28.284 0.060049 0.86717 1.0086 1.4137 0.5409 -2.5251 11.999 0.095476 1055.6 0.079675 536.49 0.10772 0.0043622 2.1381 0.53068 3.1367e-05 0.75598 9.6618 0.21729 0.12973 0.012275 1.5306 2.7902 -1.355 1.8092 -0.37239 0.0014968 1.0583 1.7741 25436
  SB35_437 0.20763 0.76425 1.0223 0.30618 6.4571 10.332 0.037477 0.48526 0.79053 4.0496 0.2495 -1.8288 4.6062 0.23754 3141.9 0.0063496 327.84 0.82068 0.00065076 1.245 0.8874 0.00016542 1.1651 0.12511 0.061577 0.20529 0.00019168 2.1357 0.70196 -3.5351 0.43905 -0.89588 0.001291 1.1318 3.2922 25437
  SB35_438 0.1072 0.9635 12.982 1.5386 3.9705 15.009 0.049518 0.65689 0.89913 3.1761 0.16734 -2.1451 9.4304 0.034169 2882.7 0.17899 210.82 0.20061 0.0018657 2.5143 0.358 9.5729e-05 0.43135 2.1668 0.12025 0.61752 0.0032995 3.974 5.4953 -4.9289 3.2864 -0.063281 0.0017356 1.324 2.1522 25438
  SB35_439 0.40902 0.62098 2.7194 0.59058 8.5624 21.457 0.04707 0.67512   1.1 2.2266 0.36184 -2.701 6.0415 0.15508 795.31 0.021972 400.63 0.43983 0.0031435 1.6182 0.60207 5.4348e-05 2.6626 0.49242 0.026566 0.086375 0.0016499 0.36029 2.0021 -0.26896 0.77617 -0.66501 0.0010236 0.98048 1.3568 25439
  SB35_440 0.43632 0.87361 10.731 0.26792 5.0299 27.45 0.063298 0.82374 0.9715 2.4497 0.33183 -2.6045 4.3443 0.029676 3551.2 0.051737 281.08 0.073038 0.0053679 2.9734 0.55799 0.00015832 0.36363 5.678 0.054102 0.51538 0.00035716 2.4974 0.91254 -4.5395 1.558 -0.58304 0.00094186 1.0236 1.6304 25440
  SB35_441 0.13498 0.71692 3.1844 3.3268 9.5582 19.624 0.03579 0.50511 0.77842 1.7174 0.13808 -2.2494 11.237 0.19061 1654.1 0.0073341 483.45 0.60696 0.00056626 1.8939 0.80205 2.8433e-05 2.2454 0.14054 0.24798 0.057577 0.0062866 1.8524 2.6003 -0.50675 0.41006 -0.18476 0.0015836 1.1608  3.66 25441
  SB35_442 0.23453 0.91783 3.969 0.67383 10.727 13.005 0.05375 0.637 0.88701 1.2967 0.27282 -1.9721 6.7878 0.077701 386.08 0.27569 353.64 0.16131 0.0015886 2.3507 0.33067 5.1848e-05 0.90649 2.5661 0.030349 0.15333 0.00010269 0.007244 1.5355 -1.5887 3.4966 -0.85217 0.001153 1.3586 2.799 25442
  SB35_443 0.33637 0.67289 1.1859 1.7388 5.8124 37.998 0.046278 0.71851 1.0629 3.7145 0.6539 -2.374 9.6767 0.27361 2284.1 0.019026 157.61 0.27281 0.0037854 1.2663 0.68738 8.6562e-05 1.3967 0.3523 0.10612 0.38758 0.056352 3.6433 5.9141 -3.1404 0.90549 -0.37565 0.001401 0.95144 1.0658 25443
  SB35_444 0.39039 0.99148 1.866 1.2532 7.1269 22.949 0.055751 0.5939 0.95052 1.9779 0.22222 -2.4282 7.9164 0.13401 2705.5 0.046098 240.98 0.37681 0.001027 2.6371 0.46316 0.00020717 0.59052 0.91861 0.18749 0.11675 0.00025162 1.4025 0.61012 -4.3725  2.29 -0.71813 0.0014562 1.2663 2.9676 25444
  SB35_445 0.28832 0.64886  8.86 0.96079 13.496 16.762 0.043338 0.76311 1.1498 2.7721 0.80586 -1.9179 8.5548 0.041754 620.89 0.37383 444.83 0.23528 0.0024338 1.7461 0.91899 3.858e-05 1.5325 1.1789 0.041404 0.24884 0.022348 2.7593 3.209 -0.90345 0.55573 -0.05411 0.001212 0.92371 1.9682 25445
  SB35_446 0.18904 0.8484 1.4898 2.2106 7.6101 11.121 0.066316 0.77897 1.0412 4.1636 0.40285 -2.0545 5.4808 0.38471 1356.7 0.0096367 518.05 0.95793 0.0070158 2.0151 0.24819 6.8021e-05 0.33552 0.23577 0.32442 0.78592 0.00091272 3.0998 1.1736 -2.0097 1.2954 -0.97146 0.0016388 1.1159 1.2729 25446
  SB35_447 0.49005 0.79252 7.1213 0.35993 4.098 31.794 0.03371 0.54843 0.85911 1.4914 0.11127 -2.7993 10.123 0.054666 3442.4 0.12038 320.36 0.091852 0.00073608 1.1173 0.79157 0.00011769 3.479 5.4064 0.091903 0.074034 0.0025315 0.7378 9.3781 -2.9585 0.30593 -0.26068 0.0010009 1.1885 2.2943 25447
  SB35_448 0.49241 0.85169 1.3093 3.2311 5.4601 21.21 0.038728 0.5433 0.87395 4.5067 0.4786 -2.1705 6.8137 0.040328 1238.9 0.33655 390.05 0.082854 0.0049684 2.7379 0.2127 0.00018517 1.2829 0.56841 0.066964 0.18975 0.0011912 0.68935 2.6567 -3.9096 0.97806 -0.38464 0.0016914 1.2283 1.4894 25448
  SB35_449 0.19138 0.70759 6.2485 0.26341 11.423 15.163 0.0613 0.81213 1.0764 1.5775 0.12315 -2.6756 9.7065 0.13037 3090.9 0.047642 198.7 0.53076 0.00052394 1.6289 0.76942 3.2081e-05 0.99154 1.4069 0.23374 0.28676 0.0023899 3.0823 0.73695 -1.1271 3.6958 -0.84562 0.0009831 1.0611  3.92 25449
  SB35_450 0.29064 0.90844 2.1239 1.7118 10.241 10.007 0.048321 0.72996 0.9834 1.9951 0.18749 -2.5466 4.2568 0.056495 2823.8 0.13445 262.64 0.13044 0.0015021 2.1099 0.49783 5.657e-05 2.0765 0.25689 0.028576 0.45164 0.00032834 2.8085 5.2896 -2.2083 0.3797 -0.17605 0.001424 0.89898 2.5623 25450
  SB35_451 0.39277 0.65104 10.094 0.65711 4.6963 29.242 0.050768 0.59902 0.76692 2.8537 0.72667 -1.8073 11.146 0.39619 970.87 0.0092708 472.83 0.34009 0.0035805 1.0077 0.9419 0.0001052 0.39937 3.5269 0.13077 0.060323 0.0211 1.4202 2.0807 -2.5109 1.4743 -0.59029 0.001222 1.2761 1.1393 25451
  SB35_452 0.33398 0.98206 3.8041 0.98892 3.8301 25.078 0.041338 0.67276 1.0543 1.2803 0.22964 -2.0031 5.3866 0.18531 18.308 0.0070854 525.73 0.42742 0.0011555 2.9016 0.30834 0.00025147 3.7798 9.1955 0.15374 0.57845 0.00014929 3.6569 4.6379 -4.9921 0.32956 -0.25344 0.001163 0.99125 3.2746 25452
  SB35_453 0.23222 0.62703 1.1345 1.2742 8.1396 18.316 0.058688 0.65452 0.84564 3.5841 0.59077 -2.3508 10.025 0.028681 2182.6 0.05754 335.86 0.20572 0.0027395 1.9811 0.65173 4.204e-05 0.30695 0.11801 0.043514 0.092132 0.047756 0.051812 0.51163 -0.27393 1.3655 -0.98017 0.0013687 1.3038 1.8226 25453
