#Name	Omega0	sigma8	SNMomentumBoostFactor	TwindMassLoadingBoostFactor	BondiAccretionBoostFactor	AGNFeedbackTemperature	OmegaBaryon	HubbleParam	n_s	SFEfficiency	CritPhysDensity	Nspawn	SNIIEnergyBoostFactor	SNIaEnergyBoostFactor	HNfrac	ZHN	SNIIEventNumber	DesNumNgbFB	TwindCsndBoostFactor	TwindVwindBoostFactor	EddingtonAccretionBoostFactor	Cvisc	BHRadiativeEfficiency	AGNFeedbackEfficiency	SeedBlackHoleMass	MinFoFMassForNewSeed	Seed
1P_p24_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p24_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.3	1e-5	1	67
1P_p24_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.6	1e-5	1	67
1P_p25_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-06	1	67
1P_p25_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	3.16e-06	1	67
1P_p25_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-05	1	67
1P_p25_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	3.16e-05	1	67
1P_p25_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	0.0001	1	67
1P_p26_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	0.1	67
1P_p26_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	0.316	67
1P_p26_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1.0	67
1P_p26_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	3.16	67
1P_p26_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	10.0	67
