#Name	Omega0	sigma8	SNMomentumBoostFactor	TwindMassLoadingBoostFactor	BondiAccretionBoostFactor	AGNFeedbackTemperature	OmegaBaryon	HubbleParam	n_s	SFEfficiency	CritPhysDensity	Nspawn	SNIIEnergyBoostFactor	SNIaEnergyBoostFactor	HNfrac	ZHN	SNIIEventNumber	DesNumNgbFB	TwindCsndBoostFactor	TwindVwindBoostFactor	EddingtonAccretionBoostFactor	Cvisc	BHRadiativeEfficiency	AGNFeedbackEfficiency	SeedBlackHoleMass	MinFoFMassForNewSeed	Seed
1P_p6_n2	0.3	0.8	1.0	1.0	1.0	79000000.0	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p6_n1	0.3	0.8	1.0	1.0	1.0	158000000.0	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p6_0	0.3	0.8	1.0	1.0	1.0	316000000.0	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p6_1	0.3	0.8	1.0	1.0	1.0	632000000.0	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p6_2	0.3	0.8	1.0	1.0	1.0	1260000000.0	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p7_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.029	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p7_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.039	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p7_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.049	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p7_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.059	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p7_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.069	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p8_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.4711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p8_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.5711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p8_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p8_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.7711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p8_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.8711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p9_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.7624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p9_n1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.8624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p9_0	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p9_1	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	1.062	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p9_2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	1.162	0.01	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
1P_p10_n2	0.3	0.8	1.0	1.0	1.0	3.16e8	0.0490	0.6711	0.9624	0.002	0.1	2	1.0	1.0	0.5	1e-3	2	8	1.0	1.0	1	6.28e2	0.1	0.15	1e-5	1	67
