# Name Omega_m sigma_8 ASN1 ASN2 AAGN1 AAGN2 seed
SB5_95 0.41341 0.90992 0.20328 0.15795 2 1 45095
SB5_96 0.42293 0.63578 0.31759 0.22230 6 3 45096
SB5_97 0.27737 0.89293 2.04840 3.11013 2 1 45097
SB5_98 0.10393 0.75389 0.30689 0.05278 2 1 45098
SB5_99 0.39636 0.92482 5.02134 1.28361 8 4 45099
SB5_100 0.31295 0.70575 1.13754 0.79057 8 4 45100
SB5_101 0.18654 0.97218 0.57033 0.11461 2 1 45101
SB5_102 0.20687 0.68627 8.85781 1.84304 4 2 45102
SB5_103 0.49266 0.84166 0.17349 0.49937 4 2 45103
SB5_104 0.47457 0.78571 7.10886 0.14631 2 1 45104
SB5_105 0.22589 0.94261 0.12166 0.63009 4 2 45105
SB5_106 0.15561 0.60352 1.41857 0.33817 6 3 45106
SB5_107 0.34492 0.87480 0.81396 2.67183 2 1 45107
SB5_108 0.36464 0.65558 0.21316 3.76411 2 1 45108
SB5_109 0.13510 0.82197 4.06403 0.18050 8 4 45109
SB5_110 0.25850 0.73600 0.45710 0.91794 4 2 45110
SB5_111 0.44117 0.99154 2.53016 0.07519 4 2 45111
SB5_112 0.43514 0.74228 0.10155 1.62822 6 3 45112
SB5_113 0.26458 0.98526 6.40459 0.42367 2 1 45113
SB5_114 0.14113 0.67434 0.97682 0.67068 2 1 45114
SB5_115 0.35856 0.80319 1.57705 0.10125 6 3 45115
SB5_116 0.32595 0.62229 3.63908 0.06002 4 2 45116
SB5_117 0.17453 0.85603 0.17843 1.50630 2 1 45117
SB5_118 0.24485 0.79199 2.82095 0.26084 2 1 45118
SB5_119 0.45564 0.93633 0.54521 3.53634 8 4 45119
SB5_120 0.48658 0.69250 2.28254 1.04313 2 1 45120
SB5_121 0.21290 0.83542 0.37860 0.08818 6 3 45121
SB5_122 0.19262 0.72447 4.49375 4.41456 4 2 45122
SB5_123 0.30693 0.95347 0.25673 0.20513 2 1 45123
SB5_124 0.37743 0.77261 0.68483 0.29890 4 2 45124
SB5_125 0.12289 0.90610 1.26535 2.26793 4 2 45125
SB5_126 0.29629 0.64201 0.14489 0.12420 8 4 45126
SB5_127 0.40396 0.88670 7.98465 0.55697 2 1 45127
