#Name Omega_m    sigma_8    A_SN1      A_AGN1     A_SN2      A_AGN2   Omega_b    seed
SB7_274 0.45004500 0.77798300 1.98012700 1.08179900 0.98698200 0.429602 0.08869200 12274
SB7_275 0.22124700 0.81637700 0.25805700 0.72889500 1.20302000 1.739967 0.04769700 12275
SB7_276 0.26299100 0.96166800 0.48609100 0.56609000 1.71232200 0.251052 0.07142400 12276
SB7_277 0.40907100 0.64514200 1.00659400 1.66320300 0.69534600 1.030142 0.03250000 12277
SB7_278 0.37698400 0.87840400 0.53804200 3.81641900 0.70905800 0.597288 0.06407500 12278
SB7_279 0.14508500 0.71522400 3.79862800 0.34653900 1.18416600 2.449144 0.02452500 12279
SB7_280 0.12161600 0.86180600 1.27756500 2.35219300 1.38463100 0.324933 0.08188300 12280
SB7_281 0.35046300 0.74393100 0.39991100 0.40029300 0.85781700 1.338443 0.04170900 12281
SB7_282 0.43242900 0.97942000 3.26465000 0.98018300 0.59390700 0.546684 0.05484700 12282
SB7_283 0.28964500 0.61450000 0.59945600 1.34932600 1.41798700 2.250294 0.01404700 12283
SB7_284 0.24466600 0.75670900 0.83440200 1.71999800 1.00573600 0.933436 0.06526900 12284
SB7_285 0.47661300 0.84976000 2.44938000 0.64573300 0.83513600 3.809246 0.02614900 12285
SB7_286 0.30860900 0.67666800 0.31353900 0.25770900 0.60391200 0.392574 0.07792100 12286
SB7_287 0.16267600 0.91642300 1.56050100 3.05983300 1.97223800 1.600997 0.03817600 12287
SB7_288 0.17042900 0.80958200 3.86567700 0.51704000 1.46470000 0.454466 0.06890600 12288
SB7_289 0.30086300 0.79640000 0.50627600 1.51883900 0.57500200 1.793508 0.02970600 12289
SB7_290 0.48129700 0.93044300 1.08428600 3.50407200 0.86708800 0.764082 0.07686900 12290
SB7_291 0.24000200 0.66391800 0.47121600 0.31823200 1.36991300 3.017489 0.03704400 12291
SB7_292 0.29424200 0.70920900 0.26407000 0.49972800 1.95106800 0.639528 0.08332700 12292
SB7_293 0.42782400 0.89760400 1.85275500 2.66441900 0.61042700 2.494596 0.04307200 12293
SB7_294 0.35822800 0.62616500 0.98582100 1.17859900 0.80846700 0.268788 0.05097900 12294
SB7_295 0.11383200 0.96746400 2.07307600 0.79344700 1.03884700 1.049147 0.01009900 12295
SB7_296 0.14036500 0.60799100 1.66291800 1.88408300 1.21622900 0.587752 0.07255500 12296
SB7_297 0.38170800 0.99774700 0.30726900 0.70673600 0.97632400 2.282281 0.03355000 12297
SB7_298 0.40118300 0.72543500 2.51984900 0.28053300 0.52202800 0.349380 0.06052000 12298
SB7_299 0.27089600 0.86848600 0.77671000 3.33362500 1.61279000 1.357556 0.02089000 12299
SB7_300 0.21342100 0.91069600 0.64240100 2.14802400 1.14615700 0.418062 0.05967700 12300
SB7_301 0.45786600 0.69577500 3.18167500 0.36561000 0.73252500 1.639616 0.01922700 12301
SB7_302 0.32735900 0.83048300 0.40487400 0.90011800 0.68776500 0.993935 0.08732800 12302
SB7_303 0.19392200 0.76260900 1.20856200 1.23889400 1.73108700 3.900878 0.04625300 12303
SB7_304 0.17829700 0.98626400 0.89368900 0.33007000 0.75170500 1.991262 0.08879200 12304
SB7_305 0.34923300 0.61976900 2.18998800 3.83694600 1.12039200 0.485465 0.04978900 12305
SB7_306 0.46724000 0.85380500 0.29170900 1.56697200 1.76203300 3.347861 0.05676600 12306
SB7_307 0.21029600 0.74060600 1.75160300 0.57538300 0.67412900 0.816771 0.01713800 12307
SB7_308 0.25527000 0.68271700 1.14235700 0.74887100 0.94916600 2.769588 0.06342800 12308
SB7_309 0.42305800 0.92404800 0.42834300 1.00829600 1.25476400 0.683165 0.02298100 12309
SB7_310 0.39108300 0.75260300 3.66455200 2.52647700 1.58929200 1.164038 0.07108900 12310
SB7_311 0.13723900 0.84097800 0.55775700 0.42095200 0.52845900 0.287317 0.03001600 12311
SB7_312 0.11070800 0.78131000 0.38429700 2.85197300 0.62461100 2.142295 0.05263700 12312
SB7_313 0.36760300 0.82438000 1.32954300 0.26477100 1.90108200 0.525112 0.01344000 12313
SB7_314 0.44970000 0.65207500 0.67766500 0.59533100 1.06010400 1.273451 0.08061100 12314
SB7_315 0.27861700 0.94179900 2.88803300 1.78651300 0.79418500 0.312349 0.04078700 12315
SB7_316 0.23687700 0.88718900 2.77959100 1.35660400 0.55721400 1.539078 0.07958300 12316
SB7_317 0.49067200 0.71933200 0.73523600 0.93359600 1.50676700 0.373498 0.03933000 12317
SB7_318 0.32273800 0.95404600 1.50534200 0.40686700 1.35292400 3.659137 0.06724500 12318
SB7_319 0.15480500 0.63909600 0.32501000 2.21606300 0.88000300 0.888604 0.02636700 12319
SB7_320 0.15053500 0.96974200 1.30177900 1.50785400 0.54027500 0.612021 0.05056000 12320
SB7_321 0.32154500 0.63623700 0.37588200 0.50212700 1.55884600 2.390190 0.01085300 12321
SB7_322 0.48947200 0.89058000 2.95284200 0.31454200 1.28022400 0.257244 0.08259800 12322
SB7_323 0.23260100 0.70377800 0.69218300 3.39034500 0.92783400 1.005345 0.04351400 12323
SB7_324 0.27668500 0.67407000 0.71915800 2.62197400 0.66027600 0.435456 0.07720900 12324
SB7_325 0.44459400 0.93273900 2.72150800 0.48171400 1.80376600 1.716574 0.03636800 12325
SB7_326 0.36250300 0.79100100 0.33197100 0.78690400 1.09366400 0.732077 0.06955700 12326
SB7_327 0.10878100 0.80262500 1.53917900 1.14266400 0.76794400 2.887746 0.02934100 12327
SB7_328 0.13214000 0.77440300 2.23978400 0.68126300 0.89770100 0.400084 0.08675000 12328
SB7_329 0.38915800 0.83133300 0.91244600 1.85403900 1.32274900 1.570944 0.04715900 12329
SB7_330 0.42112600 0.69182100 1.71543200 3.23203600 1.54020500 0.951294 0.05878600 12330
SB7_331 0.25016500 0.90209700 0.28520800 0.27821800 0.54662900 3.737738 0.01981900 12331
SB7_332 0.20909700 0.86930500 0.43733500 0.35506600 0.77536700 0.563210 0.06101900 12332
SB7_333 0.46296500 0.73716200 1.16828900 2.13245500 1.08282800 2.184265 0.02006200 12333
SB7_334 0.34496400 0.98906900 0.54531400 1.19870300 1.86234100 0.334756 0.07336900 12334
SB7_335 0.17710400 0.60402000 3.58894200 0.88967400 0.63929200 1.299171 0.03303600 12335
SB7_336 0.19897800 0.84642400 0.30092100 3.97103800 1.01911300 2.653719 0.07049600 12336
SB7_337 0.32933900 0.75960500 1.62584600 0.33439400 0.82640900 0.653769 0.03090800 12337
SB7_338 0.45984000 0.91394200 0.79436200 0.59167200 0.59681200 1.115408 0.06252200 12338
SB7_339 0.21847200 0.68046700 2.57270500 1.57624800 1.99030600 0.274984 0.02355800 12339
SB7_340 0.27204000 0.74757800 3.11072100 1.04141600 1.40211300 1.905794 0.05728000 12340
SB7_341 0.40550100 0.85918400 0.62915200 0.75611900 0.84941800 0.465172 0.01632500 12341
SB7_342 0.38603200 0.61743900 1.23394600 0.43610400 0.58732800 3.203968 0.08962000 12342
SB7_343 0.14151500 0.97614000 0.41406900 2.56389600 1.42999400 0.782545 0.04928900 12343
SB7_344 0.11815700 0.64772200 0.51764200 0.26733500 1.69218100 1.474580 0.06680200 12344
SB7_345 0.35937800 0.95796600 3.94853600 2.94560800 0.70172000 0.357446 0.02709700 12345
SB7_346 0.42896900 0.71846100 0.46138200 1.81300100 0.71849200 3.506159 0.07882900 12346
SB7_347 0.29856000 0.87541000 1.06055700 0.61675600 1.17178500 0.850469 0.03974800 12347
SB7_348 0.24197700 0.94579900 1.89242000 0.94583300 1.64763200 2.050323 0.08097500 12348
SB7_349 0.48634800 0.66071900 0.27000300 1.40399200 0.50957500 0.503177 0.04013700 12349
SB7_350 0.30592000 0.81263300 2.02771400 2.22921700 0.99944800 1.218653 0.05331300 12350
SB7_351 0.17241000 0.78050700 0.96520900 0.41838300 1.19123500 0.299282 0.01309900 12351
SB7_352 0.16772700 0.69866500 0.39168800 1.13654900 1.15904500 1.148382 0.08491800 12352
SB7_353 0.31058400 0.90736500 1.24920700 0.82616900 0.72634400 0.291234 0.04399900 12353
SB7_354 0.47859400 0.76640200 0.61313500 0.47393200 0.67921800 2.732340 0.05194600 12354
SB7_355 0.24972300 0.82800800 3.33343400 2.78300200 1.74812900 0.692479 0.01165100 12355
SB7_356 0.29079600 0.99511900 2.39492500 3.63749000 1.23075100 3.267255 0.06793900 12356
SB7_357 0.43675400 0.61164500 0.81725000 0.30615200 0.96742000 0.836921 0.02815300 12357
SB7_358 0.35478200 0.86520000 1.59340100 0.54464000 0.51519800 1.943320 0.07527800 12358
SB7_359 0.12276100 0.72838000 0.32068500 1.45169500 1.62975300 0.497441 0.03611600 12359
SB7_360 0.14940300 0.89390700 0.95084500 0.86594900 1.92681300 3.551751 0.05873000 12360
SB7_361 0.37812800 0.71178200 2.14940200 1.28606400 0.61643900 0.915472 0.01769400 12361
SB7_362 0.41022100 0.96447700 0.25264500 2.05306600 0.81756300 1.493912 0.08575600 12362
SB7_363 0.26731500 0.62939600 1.93659500 0.38512600 1.03007400 0.384791 0.04534400 12363
SB7_364 0.22322700 0.79978600 1.02806000 0.29210200 1.44552800 1.249539 0.07412700 12364
SB7_365 0.45510100 0.80673400 0.49697200 3.21468700 0.58105300 0.318326 0.03445800 12365
SB7_366 0.33716400 0.66644800 3.71525900 1.96793800 0.87744600 2.102068 0.06146700 12366
SB7_367 0.19115800 0.92669300 0.52675600 0.67025400 1.35741200 0.535160 0.02242300 12367
SB7_368 0.18178300 0.72218000 1.41726400 2.41555200 0.56460700 0.262317 0.06496200 12368
SB7_369 0.34029000 0.88380400 0.34522700 0.44326400 1.49106800 1.075029 0.02392800 12369
SB7_370 0.47072700 0.64284600 2.69601500 0.72018500 1.33697500 0.624130 0.07199800 12370
SB7_371 0.20135200 0.95151700 0.75806900 1.04701700 0.88809300 2.556136 0.03158800 12371
SB7_372 0.25794100 0.82180700 0.66184400 1.63723000 0.63246300 0.753806 0.08788300 12372
SB7_373 0.41334700 0.78500700 2.95691300 0.54548600 1.88256900 3.058627 0.04821700 12373
SB7_374 0.39375300 0.93856800 0.36233700 0.34355900 1.04830500 0.448353 0.05523300 12374
SB7_375 0.12752800 0.65506200 1.41005000 3.70122000 0.80095200 1.817956 0.01619100 12375
SB7_376 0.10088600 0.92039400 3.44179200 0.38572600 0.93797200 0.975271 0.07865500 12376
SB7_377 0.37040600 0.68534500 0.59382400 2.31542300 1.26630700 3.975526 0.03773800 12377
SB7_378 0.43987800 0.83803400 1.11133000 1.30861700 1.61038800 0.410212 0.06569200 12378
SB7_379 0.28142000 0.75588900 0.44027900 0.97174900 0.52295000 1.670993 0.02540000 12379
SB7_380 0.22784700 0.62309900 0.28404700 0.62688500 0.74333400 0.339127 0.05419000 12380
SB7_381 0.49421900 0.98337400 1.79894400 1.70807500 1.12994500 1.398600 0.01440700 12381
SB7_382 0.31370900 0.74308100 0.84466300 2.96149700 1.78419400 0.570504 0.08153900 12382
SB7_383 0.15835100 0.85001200 2.31722400 0.25462800 0.66756100 2.351285 0.04237900 12383
SB7_384 0.15625100 0.61634100 0.75431800 3.41208100 1.37853800 0.415723 0.06027900 12384
SB7_385 0.31503000 0.97797000 2.59477600 0.31338700 0.86392600 1.613370 0.02112000 12385
SB7_386 0.49543900 0.74872500 0.34726700 0.50847500 0.57122900 0.989130 0.07293000 12386
SB7_387 0.22584800 0.85740200 1.47144000 1.47697600 1.47026400 3.836161 0.03314700 12387
SB7_388 0.28322500 0.91513700 1.35614800 1.16025200 1.03510100 0.590680 0.08695200 12388
SB7_389 0.43885400 0.67834300 0.36079500 0.77288400 0.81366100 2.320894 0.04666000 12389
SB7_390 0.36928200 0.84518000 3.06794100 0.48611400 0.61277200 0.351328 0.05991500 12390
SB7_391 0.10279200 0.76168000 0.66619000 2.61941700 1.93850800 1.379474 0.01899800 12391
SB7_392 0.12621000 0.81451200 0.45776700 0.27325900 1.61992900 0.642850 0.07647300 12392
SB7_393 0.39585000 0.77945700 1.11610200 3.28176900 0.51827800 2.535833 0.03743100 12393
SB7_394 0.41534900 0.94387000 0.57234800 1.85224100 0.97205300 0.270391 0.06912400 12394
SB7_395 0.25671700 0.66172000 3.41925800 0.68749000 1.22478100 1.065858 0.02945700 12395
SB7_396 0.20238000 0.71648400 2.32869500 0.88640300 1.71872700 0.451790 0.05075700 12396
SB7_397 0.46891900 0.87675200 0.87764100 1.20638200 0.69089600 1.765619 0.01034800 12397
SB7_398 0.33838800 0.64974800 1.78841600 2.08879800 0.73770700 0.760033 0.08372200 12398
SB7_399 0.18290500 0.95667300 0.27358200 0.35955700 1.14128900 2.968309 0.04268800 12399
SB7_400 0.19228100 0.79278300 3.24511000 1.60920100 0.67155700 1.513409 0.08022700 12400
SB7_401 0.33526300 0.80147700 0.60306900 0.58428600 1.77342800 0.371662 0.04118200 12401
SB7_402 0.45329400 0.67223800 1.28375000 0.33562600 1.12445700 3.600848 0.05288700 12402
SB7_403 0.22425500 0.93383800 0.39799100 3.94574000 0.74689900 0.883715 0.01321800 12403
SB7_404 0.26609200 0.88850400 0.31521400 2.56639800 0.53194500 2.177053 0.06699600 12404
SB7_405 0.41222400 0.70502400 1.55219900 0.43215700 1.58329300 0.528087 0.02658500 12405
SB7_406 0.38022500 0.97186600 0.82981800 0.76983500 1.24689900 1.294880 0.07997000 12406
SB7_407 0.14808600 0.63504100 2.46287100 1.02562900 0.95265200 0.313879 0.03893400 12407
SB7_408 0.12466600 0.98806800 1.97025400 0.61117000 0.78861400 2.813453 0.05653700 12408
SB7_409 0.35365600 0.60594900 0.25934600 1.81476200 1.06461600 0.687181 0.01737600 12409
SB7_410 0.43572900 0.87035600 2.11679600 2.90097000 1.91477600 1.183376 0.08919900 12410
SB7_411 0.29260000 0.73528200 0.92463400 0.27218600 0.62177300 0.288835 0.04941300 12411
SB7_412 0.24772300 0.69311600 0.54110600 0.41315800 0.88385900 1.958961 0.07068600 12412
SB7_413 0.47981300 0.90007000 3.77718000 2.27580900 1.34349300 0.482936 0.03039100 12413
SB7_414 0.31190400 0.77305900 0.48358900 1.39505500 1.50011300 3.295507 0.06365900 12414
SB7_415 0.16562600 0.83331100 1.01180600 0.94932300 0.56125000 0.811898 0.02274000 12415
SB7_416 0.17353400 0.94054500 2.50687300 2.81034000 0.64241300 3.385394 0.07455400 12416
SB7_417 0.30401300 0.65372000 0.78072600 0.47315200 1.85345300 0.861862 0.03434000 12417
SB7_418 0.48454200 0.81978100 1.67235600 0.83831400 1.07638500 1.422946 0.06221500 12418
SB7_419 0.24299900 0.78630000 0.30553000 1.11704900 0.78007400 0.362510 0.02137700 12419
SB7_420 0.29734100 0.64096700 0.40724700 1.46905900 0.55513700 1.202953 0.05758900 12420
SB7_421 0.43097000 0.95256600 1.20152800 0.53385100 1.51647100 0.309854 0.01850800 12421
SB7_422 0.36148000 0.72410800 0.63920600 0.30832200 1.30038300 2.022368 0.08556200 12422
SB7_423 0.11683800 0.88280300 3.19762700 3.62166500 0.91306400 0.521258 0.04585600 12423
SB7_424 0.14341900 0.74188500 1.07834900 0.37749500 0.75502700 1.106502 0.06836100 12424
SB7_425 0.38491200 0.85213500 0.47381800 2.07761400 1.11246900 0.283243 0.02802900 12425
SB7_426 0.40447500 0.62434300 3.88634300 1.28047500 1.83198600 2.630972 0.07602100 12426
SB7_427 0.27384900 0.98129900 0.50358600 0.87209100 0.65016000 0.673919 0.03506500 12427
SB7_428 0.21646800 0.83913200 0.99058100 0.66914700 0.92224000 3.111590 0.08378200 12428
SB7_429 0.46106200 0.75405900 2.06308300 1.98725800 1.28788100 0.788578 0.04481800 12429
SB7_430 0.33065600 0.91924700 0.26248700 3.15954900 1.56631300 1.849440 0.05175600 12430
SB7_431 0.19688000 0.68712700 1.86391600 0.29639700 0.53765400 0.469035 0.01216800 12431
SB7_432 0.17500500 0.86390500 0.68904900 1.06529400 1.21172200 0.918801 0.05462900 12432
SB7_433 0.34628000 0.73040700 2.84027300 0.70975200 0.98263300 3.786682 0.01429500 12433
SB7_434 0.46418600 0.99646200 0.37826400 0.44399500 0.50176500 0.386190 0.08227900 12434
SB7_435 0.20709300 0.60966700 1.35074200 2.39205400 1.67341600 1.592727 0.04132100 12435
SB7_436 0.25197400 0.76740300 1.48147000 3.71739200 1.17879800 0.330318 0.07752600 12436
SB7_437 0.42010000 0.82607900 0.33025200 0.34114100 0.71415800 1.345572 0.03856000 12437
SB7_438 0.38803700 0.69761500 2.82584500 0.55651100 0.69831200 0.555320 0.06549000 12438
SB7_439 0.13404300 0.90924600 0.72320600 1.61787700 1.70029400 2.263620 0.02589900 12439
SB7_440 0.10746300 0.66852300 0.29631200 0.96490500 1.42317800 0.255287 0.08831700 12440
SB7_441 0.36460600 0.92544700 1.72440400 1.31432900 0.59019100 1.035145 0.04810100 12441
SB7_442 0.44659600 0.79766100 0.87877600 2.28806500 0.85457000 0.607005 0.05596900 12442
SB7_443 0.27546700 0.80793100 2.22719000 0.39352400 1.39377900 2.462916 0.01512800 12443
SB7_444 0.23362500 0.96269400 3.60518000 0.25093800 1.95965000 0.710760 0.06383800 12444
SB7_445 0.48766700 0.63054400 0.56693900 3.01317900 0.60609700 2.910869 0.02475400 12445
SB7_446 0.31963900 0.89573900 1.16096100 1.69146900 0.84054600 0.422455 0.07180100 12446
SB7_447 0.15165900 0.71068300 0.42147300 0.62792200 1.00188800 1.731345 0.03209300 12447
SB7_448 0.15358500 0.88038200 1.68821600 0.46654500 1.74158800 1.256885 0.08598500 12448
SB7_449 0.32473800 0.71388000 0.28980500 2.71081900 0.68367600 0.323367 0.04510700 12449
SB7_450 0.49277200 0.95964100 2.27702500 1.10556300 0.72903300 2.113174 0.05832300 12450
SB7_451 0.23555600 0.64643700 0.89750800 0.81219800 1.15174500 0.544049 0.01807100 12451
SB7_452 0.27974200 0.77610300 0.55448200 0.53033100 1.64038100 3.533253 0.06187100 12452
SB7_453 0.44779500 0.81742700 3.52962100 1.42956000 0.51320400 0.900622 0.02204700 12453
SB7_454 0.36579800 0.65927000 0.43047300 3.57715500 0.96128500 1.484998 0.07389700 12454
SB7_455 0.11173200 0.94763900 1.18693200 0.29770700 1.23515200 0.378773 0.03469900 12455
SB7_456 0.13523700 0.67547100 2.90504000 2.02174200 1.02292500 3.251198 0.05232900 12456
SB7_457 0.39230600 0.91854700 0.70358400 0.37501100 0.82112000 0.822963 0.01125600 12457
SB7_458 0.42437600 0.75795400 1.32298900 0.84205500 0.62092600 1.932625 0.08466900 12458
SB7_459 0.25317400 0.84768500 0.36985800 1.26474500 1.91824000 0.489517 0.04422100 12459
SB7_460 0.21219900 0.98051900 0.33720600 1.91687400 1.36325900 1.154890 0.07552600 12460
SB7_461 0.46611800 0.61266900 1.51525900 0.65981400 0.87124600 0.295960 0.03589800 12461
SB7_462 0.34820600 0.86065800 0.70714700 0.28715900 0.57844400 2.745732 0.06755200 12462
SB7_463 0.18010500 0.74571400 2.76771600 3.12708000 1.45586100 0.704131 0.02854900 12463
SB7_464 0.19572900 0.90374200 0.46407900 0.73158000 0.89377000 0.344733 0.06608800 12464
SB7_465 0.32633100 0.69056700 1.05437600 1.07490800 1.33219800 1.405863 0.02501200 12465
SB7_466 0.45674300 0.83632200 0.51506400 2.48322600 1.48142500 0.579591 0.07843700 12466
SB7_467 0.21532300 0.76980300 3.96828200 0.45089400 0.56679400 2.365296 0.03798700 12467
SB7_468 0.26879800 0.60253900 2.01728800 0.35282500 0.79798800 0.960106 0.08176000 12468
SB7_469 0.40250000 0.99094000 0.97021300 3.75856600 1.05496300 3.952124 0.04213000 12469
SB7_470 0.38293100 0.73277700 1.90318600 1.66482700 1.88962300 0.403526 0.05379500 12470
SB7_471 0.13836200 0.87408200 0.26847700 0.56096500 0.62834600 1.662140 0.01479100 12471
SB7_472 0.11485700 0.70210900 0.79820300 1.32887900 0.52531500 0.741740 0.07223900 12472
SB7_473 0.35642400 0.89185900 2.56033600 0.99796900 1.59893900 3.041522 0.03135800 12473
SB7_474 0.42592000 0.63127200 0.29912200 0.39666800 1.26088700 0.440915 0.06458600 12474
SB7_475 0.29536700 0.97431700 1.63565400 2.35447600 0.94463700 1.809168 0.02433200 12475
SB7_476 0.23868200 0.80408100 1.22717300 3.04035500 0.66273200 0.266756 0.05561000 12476
SB7_477 0.48339800 0.78915400 0.41635200 0.25866000 1.79218500 1.080384 0.01578400 12477
SB7_478 0.30286300 0.93714900 3.12732700 0.63766800 1.13782900 0.634207 0.08764600 12478
SB7_479 0.16921000 0.66926900 0.62580100 1.75594700 0.74012200 2.570388 0.04844600 12479
SB7_480 0.16448200 0.75150400 0.25399700 0.32291000 0.93447600 0.565946 0.05916100 12480
SB7_481 0.30758600 0.84281000 1.92631700 3.44395400 1.27446300 2.221116 0.01941600 12481
SB7_482 0.47549000 0.68386500 0.94563400 1.53375900 1.54784800 0.336639 0.08650900 12482
SB7_483 0.24657300 0.92226500 2.16125900 0.51618900 0.54259700 1.320307 0.04738900 12483
SB7_484 0.28754300 0.85500200 3.69297100 0.79907100 0.76452000 0.397866 0.07360600 12484
SB7_485 0.43374900 0.73848200 0.52992700 1.17347000 1.10163500 1.545984 0.03280700 12485
SB7_486 0.35168200 0.98501800 1.03302900 2.69629000 1.81159500 0.946579 0.06064300 12486
SB7_487 0.11961600 0.62184400 0.49457900 0.48982900 0.65570000 3.675556 0.02046900 12487
SB7_488 0.14611100 0.95592600 0.61661800 3.31913900 0.54859000 0.432877 0.08281500 12488
SB7_489 0.37517400 0.63804600 3.31458500 0.28252200 1.53042100 1.689659 0.04326600 12489
SB7_490 0.40716700 0.88526000 0.38966900 0.69273200 1.31764400 0.728295 0.05016400 12490
SB7_491 0.26411100 0.72033400 1.25566000 1.90660900 0.90354600 2.840782 0.01124000 12491
SB7_492 0.21993100 0.65009700 1.58546900 1.21764400 0.63525900 0.615280 0.06995200 12492
SB7_493 0.45214300 0.94314300 0.32229100 0.91335400 1.86925600 2.429792 0.02895700 12493
SB7_494 0.33411800 0.78333700 2.40897100 0.36500600 1.08992300 0.258768 0.07698700 12494
SB7_495 0.18796200 0.82308600 0.81249800 2.16911400 0.77247300 1.021223 0.03661800 12495
SB7_496 0.18483700 0.62794700 1.09277900 0.57633200 1.98168600 2.083513 0.07907900 12496
SB7_497 0.34349300 0.96631700 0.44775600 1.55172800 0.60098200 0.505962 0.03952700 12497
SB7_498 0.47401900 0.70737800 3.49611400 3.90392500 0.83010100 1.239323 0.06641800 12498
SB7_499 0.20430600 0.89870200 0.58460700 0.32528800 1.01175100 0.300760 0.02749100 12499
SB7_500 0.26098700 0.92836800 0.85842300 0.42946000 1.44017200 1.450177 0.05370100 12500
SB7_501 0.41654300 0.66516300 2.28006700 2.49661300 0.58480800 0.355703 0.01270300 12501
SB7_502 0.39704900 0.81170500 0.27944400 1.01270200 0.84338800 3.450176 0.08072600 12502
SB7_503 0.13048600 0.79520500 1.82855000 0.74360000 1.40843900 0.845677 0.04035400 12503
SB7_504 0.10399000 0.82948200 2.65367500 1.76540600 1.16414400 1.874651 0.06292900 12504
SB7_505 0.37355700 0.76453700 0.77015200 0.60736500 0.72119200 0.462726 0.02318200 12505
SB7_506 0.44312300 0.91174500 1.44108000 0.26290600 0.70616800 3.154013 0.07026700 12506
SB7_507 0.28441800 0.69389600 0.33951900 2.86442000 1.68593700 0.777972 0.03114500 12507
SB7_508 0.23094700 0.72672900 0.36836800 2.19451600 1.19586100 2.695878 0.08985000 12508
SB7_509 0.49736400 0.86646000 1.38698500 0.40754000 0.99297400 0.657693 0.04904800 12509
SB7_510 0.31696100 0.60664900 0.65134500 0.92006600 0.50775900 1.133801 0.05687700 12510
SB7_511 0.16135600 0.99972400 3.00459100 1.38027800 1.65814600 0.276424 0.01670000 12511
SB7_512 0.16101200 0.64532300 2.71220600 1.96276000 1.01228300 0.473901 0.08980900 12512
SB7_513 0.31651600 0.96026700 0.72156500 0.67565600 0.83163300 1.870529 0.04877200 12513
SB7_514 0.49702600 0.71306000 1.53390800 0.29286600 0.59967000 0.796760 0.05715800 12514
SB7_515 0.23050900 0.88090900 0.33308200 3.18891400 1.97998300 3.147069 0.01674700 12515
SB7_516 0.28486300 0.94807600 0.37714000 2.05843600 1.40919400 0.666999 0.06303900 12516
SB7_517 0.44346700 0.65834400 1.29732100 0.38203900 0.84493600 2.601308 0.02337000 12517
SB7_518 0.37399500 0.81815600 0.69450100 0.86367200 0.58353700 0.280334 0.07007500 12518
SB7_519 0.10432800 0.77508100 2.94275200 1.29642900 1.43891800 1.094028 0.03103100 12519
SB7_520 0.13092200 0.84724900 1.16439500 0.54027500 1.68283400 0.515382 0.05349800 12520
SB7_521 0.39739000 0.75887900 0.43883700 1.45549100 0.70579600 2.001600 0.01257900 12521
SB7_522 0.41698400 0.91781700 3.57695100 3.66680600 0.72181200 0.306360 0.08084600 12522
SB7_523 0.26133400 0.67649400 0.54718400 0.30534700 1.16669300 1.190597 0.04055200 12523
SB7_524 0.20396500 0.74682700 0.91557600 0.47775300 1.65511100 0.366644 0.07935000 12524
SB7_525 0.47358300 0.86003200 2.23230200 2.77568000 0.50748600 1.437711 0.03956300 12525
SB7_526 0.34314600 0.61349000 0.28618800 1.12743700 0.99383700 0.871689 0.06638600 12526
SB7_527 0.18439500 0.97999100 1.70971700 0.82833000 1.19846700 3.420524 0.02722500 12527
SB7_528 0.18752000 0.76887800 0.63045600 2.98543300 0.54360100 1.751086 0.06976400 12528
SB7_529 0.33377100 0.83675900 3.10454200 0.25396400 1.54865400 0.426839 0.02884700 12529
SB7_530 0.45170800 0.68954500 0.41493000 0.62187200 1.27336000 2.944062 0.07710200 12530
SB7_531 0.21959000 0.90447100 1.23149600 1.71258100 0.93244100 0.718134 0.03681100 12531
SB7_532 0.26445900 0.87470700 1.62261700 1.29815500 0.65690700 2.435151 0.08309100 12532
SB7_533 0.40760900 0.73166200 0.30154700 0.97431100 1.81255700 0.600771 0.04330700 12533
SB7_534 0.37551500 0.99146700 2.56759200 0.38884300 1.10067100 1.023476 0.05011800 12534
SB7_535 0.14654600 0.60171900 0.79600700 2.30938300 0.76286200 0.252665 0.01095900 12535
SB7_536 0.11995400 0.97369100 0.27053900 0.34446500 0.90307500 2.240374 0.07357000 12536
SB7_537 0.35212100 0.63238600 1.88849800 3.67162900 1.31521200 0.549059 0.03253600 12537
SB7_538 0.43409300 0.89133000 0.96713500 1.63295900 1.53376400 1.331753 0.06090900 12538
SB7_539 0.28798800 0.70293000 2.02351900 0.54989400 0.54906400 0.326593 0.02050000 12539
SB7_540 0.24613400 0.67019400 3.94036700 0.71830600 0.77206200 1.609255 0.05928600 12540
SB7_541 0.47515200 0.93671300 0.51867500 1.05547900 1.08792300 0.390593 0.01961900 12541
SB7_542 0.30714200 0.79017700 1.05835800 2.42192400 1.87332000 3.825971 0.08631100 12542
SB7_543 0.16413800 0.80335100 0.46229800 0.43971900 0.63581500 0.929277 0.04727000 12543
SB7_544 0.16877300 0.92269600 0.81445600 1.19534700 0.56726600 2.998089 0.05533900 12544
SB7_545 0.30252700 0.68294600 2.40295100 0.89699700 1.48470600 0.768961 0.01574700 12545
SB7_546 0.48295400 0.84353300 0.31958700 0.35605500 1.32969500 1.783336 0.08767800 12546
SB7_547 0.23833900 0.75048800 1.59873100 2.11500000 0.89333300 0.457096 0.04871200 12547
SB7_548 0.29570400 0.62072400 1.25338500 3.24103800 0.62886300 1.055271 0.07244100 12548
SB7_549 0.42635700 0.98565000 0.39034800 0.27594100 1.89382800 0.267252 0.03148300 12549
SB7_550 0.35676600 0.73765500 3.34460200 0.67935700 1.05296900 2.510640 0.06446700 12550
SB7_551 0.11530100 0.85553500 0.61103800 1.86929800 0.79760700 0.635386 0.02413400 12551
SB7_552 0.13870700 0.72145300 0.49531500 0.78046400 0.94254800 1.363458 0.08165000 12552
