# Name Omega_m, sigma_8 ASN1 AAGN1 ASN2 AAGN2 Omega_b seed
SB7_71 0.10673 0.72431 2.48801 0.46376 0.83861 1.21726 0.047917 12071
SB7_72 0.13321 0.85273 1.86514 3.14594 0.98024 0.91109 0.065361 12072
SB7_73 0.38887 0.74090 0.26235 0.28583 1.21458 1.79535 0.025734 12073
SB7_74 0.41927 0.98265 2.04775 0.65586 1.67727 0.70244 0.077711 12074
SB7_75 0.25280 0.62416 0.99814 1.92585 0.50057 1.38466 0.038708 12075
SB7_76 0.20626 0.75387 0.50194 1.25846 0.71200 0.54334 0.082484 12076
SB7_77 0.46502 0.84049 3.89926 0.84743 1.18246 1.07602 0.041411 12077
SB7_78 0.34545 0.68613 0.47870 0.37689 1.70552 0.83778 0.054520 12078
SB7_79 0.17584 0.91985 1.06738 2.00898 0.69623 1.65970 0.014071 12079
SB7_80 0.19771 0.73061 0.72971 0.55741 1.10982 1.18741 0.051610 12080
SB7_81 0.32983 0.86253 2.80102 1.67315 0.75677 0.58629 0.011980 12081
SB7_82 0.46189 0.61063 0.32874 3.78244 0.65169 1.53964 0.083950 12082
SB7_83 0.21564 0.99589 1.48846 0.35107 1.82753 0.76048 0.044944 12083
SB7_84 0.27468 0.82550 1.34246 0.45299 1.28404 1.98042 0.076247 12084
SB7_85 0.40364 0.76837 0.38062 2.46834 0.92508 0.98359 0.035172 12085
SB7_86 0.38574 0.90786 2.84589 1.06990 0.53933 1.28391 0.068273 12086
SB7_87 0.14259 0.69782 0.68773 0.73599 1.56159 0.63787 0.027822 12087
SB7_88 0.11610 0.92605 0.42406 1.74541 1.84779 1.74177 0.085456 12088
SB7_89 0.36221 0.66753 1.15375 0.64064 0.64433 0.86234 0.045631 12089
SB7_90 0.43024 0.80929 0.56580 0.26021 0.78244 1.34290 0.057795 12090
SB7_91 0.29807 0.79747 3.61199 3.02621 1.07304 0.66508 0.018594 12091
SB7_92 0.24227 0.63036 2.20743 2.36623 1.51297 1.04392 0.062401 12092
SB7_93 0.48528 0.96404 0.88659 0.39416 0.55647 0.51426 0.021521 12093
SB7_94 0.30328 0.70970 1.73240 0.99298 0.91528 1.60963 0.074429 12094
SB7_95 0.17427 0.89633 0.29493 1.33733 1.29734 0.79322 0.034173 12095
SB7_96 0.16646 0.97659 0.66657 0.49220 1.06145 1.48795 0.063453 12096
