#Name Omega_m sigma_8 A_SN1 A_AGN1 A_SN2 A_AGN2 seed
LH_83 0.21921 0.87914 0.52944 3.03006 1.47951 1.36330 30083
LH_84 0.38854 0.69570 0.91983 0.39242 0.62856 0.64749 30084
LH_85 0.43826 0.98715 0.41526 0.30620 0.64232 1.51116 30085
LH_86 0.10521 0.73720 0.36642 2.86879 0.55287 1.43469 30086
LH_87 0.20155 0.96409 1.70504 0.87476 1.53943 1.34958 30087
LH_88 0.22711 0.69805 3.13253 1.77452 1.73649 1.24872 30088
LH_89 0.33360 0.64426 2.47968 0.83933 1.01754 0.86269 30089
LH_90 0.27652 0.86610 3.65429 0.51069 1.40932 0.58499 30090
LH_91 0.11131 0.95314 3.07774 2.31879 1.12682 1.23540 30091
LH_92 0.42072 0.82863 0.42264 0.51192 1.31558 1.56278 30092
LH_93 0.39963 0.73039 0.36028 0.32802 1.36025 0.78709 30093
LH_94 0.44591 0.66652 1.05008 0.90874 1.67804 0.75268 30094
LH_95 0.19894 0.90618 0.62643 1.83135 0.88058 1.54402 30095
LH_96 0.26785 0.94319 0.99189 0.75724 0.51818 1.27786 30096
LH_97 0.16671 0.61058 0.85413 0.66997 1.64777 1.15776 30097
LH_98 0.43062 0.71085 1.30645 0.28202 1.66681 1.71510 30098
LH_99 0.28602 0.65670 2.79479 0.29948 0.56802 1.98663 30099
LH_100 0.29474 0.97786 2.52995 1.21711 0.65310 1.46469 30100
LH_101 0.34474 0.97662 2.33480 3.21544 0.63429 1.12998 30101
LH_102 0.29344 0.90766 0.43866 0.27737 0.57046 0.60211 30102
LH_103 0.30724 0.87670 0.60025 0.49494 1.29036 1.09028 30103
LH_104 0.31256 0.68948 1.52287 0.71426 1.71779 0.58860 30104
LH_105 0.17494 0.76161 2.84137 1.16203 0.80949 0.90803 30105
LH_106 0.31020 0.79302 2.32699 1.88003 1.30005 1.44061 30106
LH_107 0.24412 0.69264 1.61749 2.54900 1.74447 1.80601 30107
LH_108 0.49706 0.92771 0.69788 0.27082 1.87577 0.96248 30108
LH_109 0.35699 0.72629 1.68441 2.36383 1.84441 0.50809 30109
LH_110 0.16338 0.60006 1.03662 3.15269 0.93788 1.26983 30110
LH_111 0.49937 0.68897 0.82760 0.96788 0.58382 1.13668 30111
LH_112 0.10767 0.86121 1.08252 0.52563 0.89651 0.59095 30112
LH_113 0.33446 0.82348 0.71548 0.31126 1.61593 0.53724 30113
LH_114 0.22386 0.61744 0.38646 0.61555 0.78226 0.86491 30114
LH_115 0.22034 0.69420 1.85275 0.59450 0.50426 0.78003 30115
LH_116 0.33870 0.68719 1.96149 0.95541 1.70594 0.69988 30116
LH_117 0.23643 0.93291 0.68718 1.12082 1.99914 1.37758 30117
LH_118 0.44866 0.77326 1.16707 0.39438 1.51862 0.96391 30118
LH_119 0.23162 0.60285 0.71279 2.58164 0.71267 1.37645 30119
LH_120 0.10362 0.64589 0.48117 0.91249 1.49365 0.68655 30120
LH_121 0.36979 0.96565 0.92063 1.09272 0.63261 1.67838 30121
LH_122 0.38442 0.87415 3.37402 2.32423 1.14552 0.76915 30122
LH_123 0.12187 0.71993 2.85286 0.67783 0.99196 0.74283 30123
LH_124 0.16126 0.71861 2.28029 0.28947 1.42888 1.02717 30124
LH_125 0.32844 0.61563 0.97768 1.25609 1.72966 0.91910 30125
LH_126 0.39378 0.78065 0.25407 3.51128 0.96744 0.65767 30126
LH_127 0.34796 0.76392 2.60565 2.73213 1.67963 0.76307 30127
LH_128 0.13343 0.62544 2.83468 0.39051 0.71577 1.65304 30128
LH_129 0.27037 0.84294 0.93851 2.97567 1.10260 1.36150 30129
LH_130 0.36603 0.68408 1.78463 0.26746 1.21278 0.94613 30130
LH_131 0.24783 0.90263 0.56821 0.81079 0.67193 1.09482 30131
LH_132 0.39909 0.80542 3.72562 2.56439 1.15450 1.30824 30132
LH_133 0.14278 0.60494 0.56494 0.46850 0.92047 1.21580 30133
LH_134 0.17371 0.63138 0.61274 1.51493 0.75531 0.73156 30134
LH_135 0.23128 0.61779 0.48432 1.99731 0.57706 0.86097 30135
LH_136 0.12023 0.81985 2.13183 2.38578 0.68463 1.43102 30136
LH_137 0.36053 0.67934 1.25601 2.08675 0.55602 1.35459 30137
LH_138 0.48559 0.66685 2.04218 3.70506 0.68003 0.62731 30138
LH_139 0.15631 0.98150 0.52594 2.81738 0.65531 1.73548 30139
LH_140 0.11452 0.83725 1.27938 0.75316 1.97843 1.14866 30140
LH_141 0.42695 0.63393 0.54528 0.94181 1.91981 0.81193 30141
LH_142 0.13093 0.98043 1.39808 0.41348 1.25086 1.45342 30142
LH_143 0.27290 0.90445 0.27330 2.99128 1.08936 0.54048 30143
LH_144 0.44197 0.81038 3.98352 0.77031 0.77451 1.97877 30144
LH_145 0.19215 0.92125 1.01811 1.70115 1.33112 1.04160 30145
LH_146 0.38487 0.82985 0.51972 1.08778 0.70757 0.83551 30146
LH_147 0.26066 0.84060 1.02070 2.42613 0.50611 1.53716 30147
LH_148 0.40023 0.72489 1.62148 0.38715 1.10185 0.67585 30148
LH_149 0.25581 0.66123 0.35622 0.49096 0.74166 0.54888 30149
LH_150 0.16410 0.85083 2.00460 0.71137 1.04260 1.84657 30150
LH_151 0.35316 0.61232 3.32578 1.84554 0.60268 1.71374 30151
LH_152 0.22433 0.85308 3.40893 0.62032 1.28629 1.87361 30152
LH_153 0.17859 0.77998 2.75518 0.27692 1.15771 1.30191 30153
LH_154 0.12787 0.78930 0.26512 0.37897 0.63088 0.56803 30154
LH_155 0.16955 0.80277 0.60856 0.90435 1.07728 1.01022 30155
LH_156 0.40828 0.81846 1.21034 2.11202 1.97119 0.69633 30156
LH_157 0.31173 0.80306 2.80741 0.49319 0.57768 0.74722 30157
LH_158 0.16222 0.87849 0.76292 2.34654 0.67882 1.38142 30158
LH_159 0.26578 0.81385 1.94830 2.63410 0.57360 0.90712 30159
LH_160 0.37547 0.99668 3.73318 0.59025 0.66916 1.03800 30160
LH_161 0.25293 0.84200 2.34061 0.63970 0.54901 1.29178 30161
LH_162 0.44092 0.91586 1.74504 2.54159 1.47686 0.51234 30162
